description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
CINACALCET 30 MG TABLET,RX-38100,CDM,J0604,HCPCS,250.0,RC,64380-0883-04,NDC,outpatient,1.0,UN,1.97,1.48,WELLSENSE [1003],WELLSENSE CARE ALLIANCE ACO [100318],,,,,1.97,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,9.460476552006142e-07,,cinacalcet 30 mg tablet
Hair Remov Electrolysis Ea 1/2 Hr,PX-76002290,CDM,17380,CPT,761.0,RC,,,inpatient,,,613.0,459.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA PPO EPO [11000113],,,,,,482.89,482.89,,,CPT,Unknown,Unknown,Unknown,0.0002958747952394084,,hair remov electrolysis ea 12 hr
SCREW BONE 28MM MONOBLOCK BASEPLATE,SUP-591001,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,4485.46,3364.09,HARVARD PILGRIM [120001],HARVARD PILGRIM FOCUS [12000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0021650204053791037,,screw bone 28mm monoblock baseplate
"ARIPIPRAZOLE LAUROXIL ER 441 MG/1.6 ML SUSPENSION, EXT.REL. IM SYRINGE",RX-185539,CDM,J1944,HCPCS,636.0,RC,65757-0401-03,NDC,inpatient,1.6,ML,6071.81,4553.86,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE PREF VALUE MEDICARE REPLACEMENT [100703],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.002930720486146474,,aripiprazole lauroxil er 441 mg16 ml suspension extrel im syringe
NAIL TIBIAL 13X420MM FX CANNULATED TITANIUM PROXIMALIMAL BEND,SUP-179817,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,4037.81,3028.36,MASSHEALTH [3001],MASSHEALTH QMB [300119],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0019489547051882857,,nail tibial 13x420mm fx cannulated titanium proximalimal bend
Biopsy Tissue Back Soft Superfic,PX-76000350,CDM,21920,CPT,761.0,RC,,,inpatient,,,2165.0,1623.75,HARVARD PILGRIM [120001],HPHC ELEVATE HMO [12000118],,,,,,1237.95,1237.95,,,CPT,Unknown,Unknown,Unknown,0.001044990081398262,,biopsy tissue back soft superfic
Tx Fx Palatal/Maxill W/Fix,PX-76000329,CDM,21421,CPT,761.0,RC,,,inpatient,,,12038.0,9028.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA PPO EPO [11000113],,,,,,2008.14,2008.14,,,CPT,Unknown,Unknown,Unknown,0.005810463805783805,,tx fx palatalmaxill wfix
Biopsy Mucosa Vaginal Extensive,PX-76001347,CDM,57105,CPT,761.0,RC,,,outpatient,,,4738.0,3553.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM CT [11000136],,2700.25,,,3818.15,162.71,4191.77,other,ASC ,CPT,Unknown,Unknown,Unknown,0.0022869189675366196,,biopsy mucosa vaginal extensive
COLLAR CERVICAL 33 TO 40IN PEDIATRIC ASPEN PLASTIC FOAM PAD COTTON LINING 2 PC TRACHEAL OPENING TALL PD3,SUP-35979,CDM,L0172,HCPCS,274.0,RC,,,inpatient,,,125.62,94.21,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM CT [11000136],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,6.062427831285568e-05,,collar cervical 33 40in pediatric aspen plastic foam pad cotton lining 2 pc tracheal opening tall pd3
OXAZEPAM 15 MG CAPSULE,RX-5931,CDM,25009999,HCPCS,250.0,RC,62584-0813-01,NDC,inpatient,1.0,UN,9.57,7.18,MGB HEALTH PLAN [150001],MGBHP ALLIES [15000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.614395705978505e-06,,oxazepam 15 mg capsule
PLATE RADIUS 125MM 7 HOLE SHAFT LCP SS META VOLAR EXTRA ACTICULAR RIGHT DISTAL,SUP-132772,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,4521.02,3390.76,MGB HEALTH PLAN [150001],MGBHP ALLIES [15000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0021821844128377434,,plate radius 125mm 7 hole shaft lcp ss meta volar extra acticular right distal
Strattice 320 Sq Cm T3,PX-27000652,CDM,Q4130,HCPCS,278.0,RC,,,inpatient,,,20045.0,15033.75,MGB HEALTH PLAN [150001],MGBHP PPO [15000107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.009675261548228354,,strattice 320 sq cm t3
Debride Skin/Subq Tissue,PX-76000022,CDM,11042,CPT,761.0,RC,,,outpatient,,,948.0,711.0,HARVARD PILGRIM [120001],HARVARD PILGRIM HMO POS EPO [12000103],,314.08,,,700.39,64.53,532.03,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.000457571715898697,,debride skinsubq tissue
Repair Lac Cornea/Sclera Perfor,PX-76001608,CDM,65280,CPT,761.0,RC,,,outpatient,,,6102.0,4576.5,HARVARD PILGRIM [120001],HPHC ACCESS AMERICA [12000125],,3276.23,,,6102.0,3276.23,7440.77,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.0029452909071762306,,repair lac corneasclera perfor
US Inj Cervical Thoracic 2 Level,PX-76001708,CDM,0214T,CPT,761.0,RC,,,inpatient,,,397.0,297.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE POS [11000142],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0001916164822172999,,us inj cervical thoracic 2 level
Erythropoietin,PX-30000421,CDM,82668,CPT,301.0,RC,,,outpatient,,,236.0,177.0,GENERIC MEDICARE REPLACEMENT [1010],CDPHP MEDICARE REPLACEMENT [101007],,18.79,,,18.79,18.41,141.07,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00011390542482582089,,erythropoietin
Coronary Intravascular Lithotripsy Without Intraluminal Device,325,MS-DRG,,,,,,,inpatient,,,146110.26,109582.69,TUFTS HEALTH PLAN [170001],TUFTS STEWARD EPO [17000109],,30080.98,,Includes reimbursement for any outliers.,30080.98,16858.15,73641.49,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.07052410711877499,,coronary intravascular lithotripsy without intraluminal device
TIBIAL INSERT 7MM SZ 3 SIGMA UNI FIXED BEARING HIGH PERFORMANCE LT RIGHT,SUP-242591,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,1666.0,1249.5,AETNA [1001],AETNA HMO MEDICARE REPLACEMENT [100109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0008041340712221873,,tibial insert 7mm sz 3 sigma uni fixed bearing high performance lt right
Osmotic Fragility RBC Incubated,PX-30001113,CDM,85557,CPT,305.0,RC,,,outpatient,,,132.0,99.0,ELDER SERVICES [1037],GENERIC ELDER SERVICES [103604],,13.36,,,13.36,13.09,61.0,fee schedule,,CPT,Unknown,Unknown,Unknown,6.370697781517605e-05,,osmotic fragility rbc incubated
Insert Cath Periph Cv W/Port <5,PX-76001093,CDM,36570,CPT,361.0,RC,,,inpatient,,,6497.0,4872.75,HUMANA [1012],HUMANA PPO MEDICARE REPLACEMENT [101204],,,,,,2377.37,2377.37,,,CPT,Unknown,Unknown,Unknown,0.0031359484703416605,,insert cath periph cv wport 5
Incompetent Venous Ablation Adhesive First Vein,PX-76002528,CDM,36482,CPT,761.0,RC,,,inpatient,,,13438.0,10078.5,HARVARD PILGRIM [120001],HARVARD PILGRIM PPO [12000105],,,,,,3938.87,3938.87,,,CPT,Unknown,Unknown,Unknown,0.006486212130927101,,incompetent venous ablation adhesive first vein
ITRACONAZOLE 10 MG/ML ORAL SOLUTION,RX-19928,CDM,25009999,HCPCS,250.0,RC,31722-0006-31,NDC,inpatient,150.0,ML,682.76,512.07,MGB HEALTH PLAN [150001],MGBHP ACO [15000117],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00032954636892654866,,itraconazole 10 mgml oral solution
HC Psych W/Patient 30 Minutes,PX-90000050,CDM,90832,CPT,914.0,RC,,,outpatient,,,203.0,152.25,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK HYBRID [101804],,91.45,,,91.45,70.82,116.19,fee schedule,,CPT,Unknown,Unknown,Unknown,9.79770714474432e-05,,hc psych wpatient 30 minutes
KIT SCP COMPLETE KNEE WITH ACCUPORT END DELIVERY CANNULA,SUP-527118,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,8925.0,6693.75,HARVARD PILGRIM [120001],HARVARD PILGRIM FOCUS [12000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0043078891370901765,,kit scp complete knee accuport end delivery cannula
SCREW BONE 5X68MM LOCKING HEADLESS LOW PROFILE MEDULLARY NAIL COMPATIBLE,SUP-666228,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,595.98,446.98,WELLSENSE [1003],WELLSENSE MERCY ALLANCE ACO [100307],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.000287656408465999,,screw bone 5x68mm locking headless low profile medullary nail compatible
Egd W/Dilate Esoph Over Guidewire|DISCONTINUED OUT-PATIENT HOSPITAL/AMBULATORY SURGERY CENTER (ASC) PROCEDURE AFTER ADMINISTRATION OF ANESTHESIA,PX-75000100,CDM,43248,CPT,750.0,RC,,,outpatient,,,2310.0,1732.5,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED PREFERRED A [12000202],74,1252.75,,,1252.75,932.9,1545.95,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0011149783007881034,,egd wdilate esoph guidewirediscontinued outpatient hospitalambulatory surgery center asc procedure administration anesthesia
Angiotensin I Enzyme (Ace),PX-30000315,CDM,82164,CPT,301.0,RC,,,inpatient,,,181.0,135.75,HARVARD PILGRIM [120001],HPHC NH LOCAL HMO [12000122],,,,,,,,,,CPT,Unknown,Unknown,Unknown,8.735816919519141e-05,,angiotensin enzyme ace
TALIGLUCERASE ALFA 200 UNIT INTRAVENOUS SOLUTION,RX-127993,CDM,J3060,HCPCS,636.0,RC,00069-0106-01,NDC,inpatient,5.0,ML,3554.96,2666.22,TUFTS HEALTH PLAN [170001],TUFTS PPO [17000106],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0017158923256955301,,taliglucerase alfa 200 unit intravenous solution
Tx Fx Fibula Distal W/O Man Closed,PX-76000613,CDM,27786,CPT,761.0,RC,,,inpatient,,,1282.0,961.5,TUFTS HEALTH PLAN [170001],TUFTS CARELINK PPO [17000101],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0006187859591828834,,tx fx fibula distal wo man closed
Xr Aortogram Thoracic W/O Ser S&I,PX-32000326,CDM,75600,CPT,323.0,RC,,,inpatient,,,9133.0,6849.75,UNITED HEALTHCARE [1016],UNITED VA COMMUNITY CARE NETWORK [101619],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.004408286031111466,,xr aortogram thoracic wo ser si
NADOLOL 40 MG TABLET,RX-5331,CDM,25009999,HCPCS,250.0,RC,60687-0313-25,NDC,inpatient,1.0,UN,10.79,8.09,WELLSENSE [1003],WELLSENSE COMMUNITY ALLIANCE ACO [100306],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.200044254436029e-06,,nadolol 40 mg tablet
SCREW BONE 5X110MM DYNANAIL HEADLESS PA,SUP-643797,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,2030.0,1522.5,GENERIC MEDICARE REPLACEMENT [1010],CONNECTICARE MEDICARE REPLACEMENT [101002],,,,,2030.0,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0009798286357594443,,screw bone 5x110mm dynanail headless pa
Pf Hysteroscopy W/Ablation,PX-98300408,CDM,58563,CPT,983.0,RC,,,inpatient,,,1303.0,977.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO [11000119],,,,,,3713.25,3713.25,,,CPT,Unknown,Unknown,Unknown,0.0006289221840600328,,pf hysteroscopy wablation
Grafix Prime 1.4 Sq Cm T1,PX-27001158,CDM,Q4133,HCPCS,636.0,RC,,,inpatient,,,1237.0,927.75,CENTERS OF EXCELLENCE [1026],OPTUM HEALTH MEDICARE OR REPLACEMENT TRANSPLANT [102608],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005970654773032774,,grafix prime 14 sq cm t1
Mgh Spastic Paraplegia Nextgen Dna Sequencing Panel (57 Genes),PX-31000725,CDM,81479,CPT,310.0,RC,,,outpatient,,,2342.0,1756.5,INTERNATIONAL COMMERCIAL [140001],QUALITY HEALTH MANAGEMENT [14000112],,,72.0,,1686.24,134.8,134.8,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.0011304239767913789,,mgh spastic paraplegia nextgen dna sequencing panel 57 genes
Mgh Congenital Myasthenic Syndrome Nextgen Sequencing (Ngs) Panel,PX-31000529,CDM,81479,CPT,310.0,RC,,,inpatient,,,1628.0,1221.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND RI [11000139],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0007857923309682979,,mgh congenital myasthenic syndrome nextgen sequencing ngs panel
Exc Cyst/Aberrant Breast Tissue Open 1/> Lesion,PX-98300881,CDM,19120,CPT,983.0,RC,,,outpatient,,,1834.0,1375.5,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM NON PREFERRED B [102005],,2534.41,,,5550.35,451.58,6727.21,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.0008852238702393828,,exc cystaberrant breast tissue open 1 lesion
Esr1 Gene Analysis,PX-31000777,CDM,81479,CPT,310.0,RC,,,inpatient,,,10593.0,7944.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND MA [11000134],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.005112994998760903,,esr1 gene analysis
Remove Hip Bone Les Super,PX-76001984,CDM,27065,CPT,761.0,RC,,,inpatient,,,5831.0,4373.25,CIGNA [1006],CIGNA MVP MEDICARE REPLACEMENT [100610],,,,,,2361.01,2361.01,,,CPT,Unknown,Unknown,Unknown,0.002814485338523493,,remove hip bone les super
Evasc St Rpr Coarcj Thrc/Aa Xcrsg Maj Side Brnch,PX-48000493,CDM,33895,CPT,481.0,RC,,,inpatient,,,20429.0,15321.75,UNITED HEALTHCARE [1016],UNITED HMO AARP MEDICARE REPLACEMENT [101607],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.009860609660267658,,evasc st rpr coarcj thrcaa xcrsg maj side brnch
BONE PLATE 3.5X84MM 6 HOLE LCP TITANIUM RECONSTRUCTION,SUP-184851,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,1380.47,1035.35,CIGNA [1006],CIGNA HMO MEDICARE REPLACEMENT [100614],,,,,1380.47,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0006663135913846284,,bone plate 35x84mm 6 hole lcp titanium reconstruction
ANCHOR SUTURE 5.5MM SIZE 2 INTRALINE TITANIUM FORCE FIBER,SUP-362464,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,987.04,740.28,WELLSENSE [1003],WELLSENSE SCO MEDICARE REPLACEMENT [100311],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00047641544062269295,,anchor suture 55mm size 2 intraline titanium force fiber
Evasc Rpr Delayed Stent Insert,PX-36000209,CDM,34710,CPT,361.0,RC,,,inpatient,,,21753.0,16314.75,UNITED HEALTHCARE [1016],UNITED SCO ONE CARE MEDICARE REPLACEMENT [101626],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.010499674504903175,,evasc rpr delayed stent insert
Mgh Stickler Syndrome Ngs Panel,PX-31000663,CDM,81479,CPT,310.0,RC,,,inpatient,,,492.0,369.0,CIGNA [1006],CIGNA MVP MEDICARE REPLACEMENT [100610],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00023747083285202355,,mgh stickler syndrome ngs panel
GRAFT EXCLUDER 12 13.5X14.5 7 ENDOPROSTHEIS INTERNAL ILIAC BRANCH,SUP-493291,CDM,C1874,HCPCS,278.0,RC,,,inpatient,,,7642.5,5731.87,TUFTS HEALTH PLAN [170001],TUFTS NAVIGATOR POS [17000113],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00368885218567224,,graft excluder 12 135x145 7 endoprostheis internal iliac branch
SHOULDER BASEPLATE UNIVERSAL LG REVERSE TITANIUM UNCEMENTED,SUP-439138,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,3934.14,2950.6,HARVARD PILGRIM [120001],HPHC ELEVATE HMO [12000118],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0018989107149376735,,shoulder baseplate universal lg reverse titanium uncemented
MICONAZOLE NITRATE 2 % TOPICAL POWDER,RX-10599,CDM,25009999,HCPCS,250.0,RC,11701-0038-16,NDC,inpatient,85.0,GR,24.57,18.43,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK NON CONFORMING [17000204],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.1854556332513818e-05,,miconazole nitrate 2 topical powder
Kidney And Urinary Tract Signs And Symptoms With McC,695,MS-DRG,,,,,,,inpatient,,,68317.28,51237.96,HARVARD PILGRIM [120001],HARVARD PILGRIM FOCUS [12000111],,15988.97,,Includes reimbursement for any outliers.,15988.97,4686.88,21857.36,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.032975198948834224,,kidney urinary tract signs symptoms mcc
Hereditary Brst Ca-Related Gen Seq Analys 14 Gen,PX-31000701,CDM,81432,CPT,310.0,RC,,,inpatient,,,7104.0,5328.0,HARVARD PILGRIM [120001],HARVARD PILGRIM STRIDE MEDICARE REPLACEMENT [12000109],,,,,,2693.57,2829.38,,,CPT,Unknown,Unknown,Unknown,0.0034289336370287894,,hereditary brst carelated gen seq analys 14 gen
LISINOPRIL 5 MG TABLET,RX-10451,CDM,25009999,HCPCS,250.0,RC,00904-6797-61,NDC,inpatient,1.0,UN,0.24,0.18,TRICARE [160005],TRICARE OVERSEAS [16000506],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.0940687168986695e-07,,lisinopril 5 mg tablet
CATHETER DRAINAGE 12FR 14CM 5 RESOLVE BILIARY LOCK POLYURETHANE HYDROPHILIC COATING PIGTAIL 18 HOLE FIXATION DEVICE BX/5EA,SUP-493234,CDM,C1729,HCPCS,272.0,RC,,,inpatient,,,276.5,207.37,UNITED HEALTHCARE ALTERNATE [1020],UNITED HARVARD PILGRIM PREFERRED A [102002],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00013345064066829887,,catheter drainage 12fr 14cm 5 resolve biliary lock polyurethane hydrophilic coating pigtail 18 hole fixation device bx5ea
BUPRENORPHINE 0.5 MG-NALOXONE 0.125 MG SUBLINGUAL QUARTER FILM,RX-7002110,CDM,J0572,HCPCS,636.0,RC,00000-0052-49,NDC,inpatient,1.0,UN,3.35,2.51,MEDICAID NON MASSACHUSETTS [3002],RHODE ISLAND MEDICAID [300207],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.6089245836745138e-06,,buprenorphine 05 mgnaloxone 0125 mg sublingual quarter film
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION,RX-112787,CDM,J9201,HCPCS,636.0,RC,00000-0011-33,NDC,inpatient,26.3,ML,189.68,142.26,MGB HEALTH PLAN [150001],MGBHP ALLIES [15000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,9.154780881107983e-05,,gemcitabine 1 gram263 ml 38 mgml intravenous solution
FLUCONAZOLE IVPB IN NS 2 MG/ML (GREATER THAN OR EQUAL TO 201 MG AND LESS THAN OR EQUAL TO 400 MG),RX-707584,CDM,J1450,HCPCS,636.0,RC,00338-6045-37,NDC,inpatient,50.0,ML,6.38,4.78,MGB HEALTH PLAN [150001],MGBHP HMO [15000102],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.0698281056509728e-06,,fluconazole ivpb ns 2 mgml greater equal 201 mg less equal 400 mg
KIT TUBE 22FR 10ML 1.5CM TRANSGASTRIC-JEJUNAL FEEDING STOMA 2 PORT BALLOON,SUP-99588,CDM,,,272.0,RC,,,outpatient,,,830.06,622.54,MASSHEALTH [3001],MASSHEALTH [300102],,,,,830.06,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,0.000400641528429958,,kit tube 22fr 10ml 15cm transgastricjejunal feeding stoma 2 port balloon
BASKET STONE 1.9FR 4 120CM 12MM RETRIEVAL ZERO TIP NITINOL WIRE 0 POLYIMIDE PTFE SHEATH,SUP-91374,CDM,,,272.0,RC,,,inpatient,,,696.12,522.09,INTERNATIONAL COMMERCIAL [140001],AETNA INTERNATIONAL KUWAIT EMBASSY [14000117],,,77.5,,539.49,,,percent of total billed charges,,CDM,Unknown,Unknown,Unknown,0.0003359949386579161,,basket stone 19fr 4 120cm 12mm retrieval zero tip nitinol wire 0 polyimide ptfe sheath
Xr Pelvis 1-2 Views,PX-32000069,CDM,72170,CPT,320.0,RC,,,inpatient,,,335.0,251.25,MGB HEALTH PLAN [150001],MGBHP EMPLOYEES FAMILY [15000110],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.00016169048496095394,,xr pelvis 12 views
Egd W/Optical Endomicroscopy,PX-75000338,CDM,43252,CPT,750.0,RC,,,outpatient,,,3420.0,2565.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA MEDICARE HMO BLUE REPLACEMENT [11000107],,,,,3420.0,2542.22,4191.77,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0016507501871517165,,egd woptical endomicroscopy
Endo Biliary W/Biopsy,PX-75000253,CDM,47553,CPT,361.0,RC,,,outpatient,,,13867.0,10400.25,HARVARD PILGRIM [120001],HARVARD PILGRIM STRIDE MEDICARE REPLACEMENT [12000109],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,8092.09,279.52,6727.21,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.006693280724846011,,endo biliary wbiopsy
OSM_EPINEPHRINE 1 MG/ML INJECTION (ETT ),RX-707047,CDM,J0171,HCPCS,636.0,RC,42023-0159-25,NDC,inpatient,1.0,ML,55.03,41.27,HARVARD PILGRIM [120001],HARVARD PILGRIM UNITED CHOICE AND OPTIONS PPO [12000107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.655369132896418e-05,,osmepinephrine 1 mgml injection ett
CLINDAMYCIN 2 % VAGINAL CREAM,RX-9624,CDM,25009999,HCPCS,250.0,RC,00168-0277-40,NDC,outpatient,8.0,UN,295.63,221.72,CIGNA [1006],CIGNA CARELINK PPO [100601],,,41.2,,121.8,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00014268586777859058,,clindamycin 2 vaginal cream
SHOULDER HEAD 6.0X35MM HUMERAL RESURFACING OFFSET REGULAR STEMMED CEMENTED COBALT HEMI CAP 05B2,SUP-164411,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,8125.0,6093.75,MGB HEALTH PLAN [150001],MGBHP ACO [15000117],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.003921747237008293,,shoulder head 60x35mm humeral resurfacing offset regular stemmed cemented cobalt hemi cap 05b2
Bactericidal Titer (Schlicter),PX-30001191,CDM,87197,CPT,306.0,RC,,,outpatient,,,239.0,179.25,HARVARD PILGRIM [120001],HPHC NH LOCAL HMO [12000122],,40.06,,,40.06,40.06,112.73,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00011535345695112796,,bactericidal titer schlicter
Omisirge Revenue,PX-81500002,CDM,J3590,HCPCS,815.0,RC,,,inpatient,,,1436500.0,1077375.0,AETNA [1001],AETNA SCO DUAL MEDICARE REPLACEMENT [100115],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.6933660428988334,,omisirge revenue
K-WIRE BONE 1.6X150MM CHARLOTTE FIXATION TROCAR TIP SINGLE END,SUP-103666,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,63.0,47.25,INTERNATIONAL COMMERCIAL [140001],BERMUDA FIRE & MARINE (BF&M) [14000104],,,77.5,,48.83,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,3.0402238933113615e-05,,kwire bone 16x150mm charlotte fixation trocar tip single end
Tx Fx (M-P)(I-P) Jt W/Man Clsd,PX-76000509,CDM,26742,CPT,761.0,RC,,,inpatient,,,2172.0,1629.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS SELECT LIMITED NETWORK HMO [11000117],,,,,,1182.01,1182.01,,,CPT,Unknown,Unknown,Unknown,0.0010483688230239787,,tx fx mpip jt wman clsd
SCREW BONE 3.5X18MM CORTICAL A.L.P.S. TITANIUM NONLOCKING SELF TAPPING LOW PROFILE FULL THREAD DISTAL,SUP-282771,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,185.5,139.12,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND MA [11000134],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,8.952699953398466e-05,,screw bone 35x18mm cortical alps titanium nonlocking self tapping low profile full thread distal
Vitamin C (Ascorbic Acid),PX-30000318,CDM,82180,CPT,301.0,RC,,,outpatient,,,142.0,106.5,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED NON PREFERRED A [12000204],,43.48,,,43.48,9.69,74.2,fee schedule,,CPT,Unknown,Unknown,Unknown,6.853375156619959e-05,,vitamin c ascorbic acid
SCREW BONE 5X18MM SELF-TAPPING PERIPROSTHETIC VAL OPTILINK T25 STARDRIVE,SUP-667057,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1015.67,761.75,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED PREFERRED A [12000202],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0004902328849472897,,screw bone 5x18mm selftapping periprosthetic val optilink t25 stardrive
Cmt Extremity 1/>Region,PX-94000042,CDM,98943,CPT,,,,,outpatient,,,132.0,99.0,AETNA [1001],AETNA PPO MEDICARE REPLACEMENT [100103],,,,,132.0,43.37,71.86,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,6.370697781517605e-05,,cmt extremity 1region
CONJUGATED ESTROGENS 0.625 MG TABLET,RX-9974,CDM,25009999,HCPCS,250.0,RC,00046-1102-81,NDC,inpatient,1.0,UN,27.15,20.36,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK NON PREFERRED [17000202],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.3096646111110543e-05,,conjugated estrogens 0625 mg tablet
BONE PLATE 60X20MM ADULT 4 HOLE 90DEG OSTEOTOMY SS 20MM DISPLACEMENT ANGLED BLADE,SUP-15012,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,3508.16,2631.12,HARVARD PILGRIM [120001],HARVARD PILGRIM HEALTH PLANS INC SELECT HMO [12000115],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00169330302454074,,bone plate 60x20mm adult 4 hole 90deg osteotomy ss 20mm displacement angled blade
